Description,Unit,Qty,Labor Type
5/8" Type X Drywall (4x8),EA,120,default
3-5/8" Metal Stud (20ga) 10',LF,450,default
#8 x 1-1/4" Drywall Screws (Box),BOX,2,default
Joint Compound (5 gal),EA,4,default
Toilet (Commercial Bowl),EA,4,Plumber
Flushometer Valve,EA,4,Plumber
Lavatory Faucet (Commercial),EA,4,Plumber
3/4" Copper Pipe (Type L),LF,150,Plumber
3/4" Copper Elbow (90 deg),EA,12,Plumber
4" PVC Pipe (Sch 40),LF,80,Plumber
LVT Flooring (Commercial),SF,650,Cement & Concrete Worker
Vinyl Cove Base (4"),LF,200,Cement & Concrete Worker
Door Slab (3070 SC Wood),EA,3,default
Hollow Metal Frame (3070),EA,3,default
Door Hardware Set (Office),SET,3,default
LED Troffer Light (2x2),EA,12,default
Toggle Switch (20A),EA,5,default
Paint (Interior Eggshell),GAL,10,default

